cpu,l2_size,l2_assoc,l3_size,l3_assoc,l2_missrate,l3_missrate
o3,1024KiB,2,1MiB,2,0.297810,0.489305
o3,1024KiB,2,1MiB,2,0.297823,0.486895
o3,1024KiB,2,1MiB,2,0.297824,0.486154
o3,1024KiB,2,1MiB,2,0.297813,0.490214
o3,1024KiB,2,2MiB,2,0.297834,0.481632
o3,1024KiB,2,2MiB,2,0.297825,0.481789
o3,1024KiB,2,2MiB,2,0.297834,0.481711
o3,1024KiB,2,2MiB,2,0.297834,0.481632
o3,1024KiB,4,1MiB,4,0.327120,0.457493
o3,1024KiB,4,1MiB,4,0.327093,0.466978
o3,1024KiB,4,1MiB,4,0.327087,0.460577
o3,1024KiB,4,1MiB,4,0.327116,0.454232
o3,1024KiB,4,2MiB,4,0.327088,0.438471
o3,1024KiB,4,2MiB,4,0.327080,0.438613
o3,1024KiB,4,2MiB,4,0.327088,0.438543
o3,1024KiB,4,2MiB,4,0.327088,0.438471
o3,1024KiB,8,1MiB,8,0.334672,0.447715
o3,1024KiB,8,1MiB,8,0.334710,0.464299
o3,1024KiB,8,1MiB,8,0.334690,0.451357
o3,1024KiB,8,1MiB,8,0.334670,0.446573
o3,1024KiB,8,2MiB,8,0.334666,0.428554
o3,1024KiB,8,2MiB,8,0.334659,0.428692
o3,1024KiB,8,2MiB,8,0.334666,0.428624
o3,1024KiB,8,2MiB,8,0.334666,0.428554
o3,256KiB,2,1MiB,2,0.573188,0.585994
o3,256KiB,2,1MiB,2,0.573141,0.515285
o3,256KiB,2,1MiB,2,0.573173,0.569833
o3,256KiB,2,1MiB,2,0.573143,0.583550
o3,256KiB,2,2MiB,2,0.573185,0.250062
o3,256KiB,2,2MiB,2,0.573180,0.250190
o3,256KiB,2,2MiB,2,0.573185,0.250103
o3,256KiB,2,2MiB,2,0.573185,0.250062
o3,256KiB,4,1MiB,4,0.580154,0.581810
o3,256KiB,4,1MiB,4,0.580101,0.507320
o3,256KiB,4,1MiB,4,0.580134,0.560902
o3,256KiB,4,1MiB,4,0.580157,0.576425
o3,256KiB,4,2MiB,4,0.580005,0.247082
o3,256KiB,4,2MiB,4,0.580000,0.247209
o3,256KiB,4,2MiB,4,0.580005,0.247122
o3,256KiB,4,2MiB,4,0.580005,0.247082
o3,256KiB,8,1MiB,8,0.582223,0.579608
o3,256KiB,8,1MiB,8,0.582187,0.505865
o3,256KiB,8,1MiB,8,0.582213,0.558978
o3,256KiB,8,1MiB,8,0.582238,0.574267
o3,256KiB,8,2MiB,8,0.582085,0.246179
o3,256KiB,8,2MiB,8,0.582063,0.246305
o3,256KiB,8,2MiB,8,0.582085,0.246219
o3,256KiB,8,2MiB,8,0.582085,0.246179
o3,64KiB,2,1MiB,2,0.836740,0.629995
o3,64KiB,2,1MiB,2,0.836678,0.523786
o3,64KiB,2,1MiB,2,0.836718,0.610020
o3,64KiB,2,1MiB,2,0.836722,0.623476
o3,64KiB,2,2MiB,2,0.836737,0.295318
o3,64KiB,2,2MiB,2,0.836727,0.295435
o3,64KiB,2,2MiB,2,0.836737,0.295356
o3,64KiB,2,2MiB,2,0.836737,0.295318
o3,64KiB,4,1MiB,4,0.843115,0.626417
o3,64KiB,4,1MiB,4,0.843049,0.521468
o3,64KiB,4,1MiB,4,0.843092,0.607053
o3,64KiB,4,1MiB,4,0.843100,0.620554
o3,64KiB,4,2MiB,4,0.843118,0.293635
o3,64KiB,4,2MiB,4,0.843107,0.293751
o3,64KiB,4,2MiB,4,0.843118,0.293674
o3,64KiB,4,2MiB,4,0.843118,0.293635
o3,64KiB,8,1MiB,8,0.844925,0.624645
o3,64KiB,8,1MiB,8,0.844855,0.520164
o3,64KiB,8,1MiB,8,0.844903,0.605539
o3,64KiB,8,1MiB,8,0.844910,0.619016
o3,64KiB,8,2MiB,8,0.844931,0.292780
o3,64KiB,8,2MiB,8,0.844920,0.292895
o3,64KiB,8,2MiB,8,0.844931,0.292818
o3,64KiB,8,2MiB,8,0.844931,0.292780
timing,4KiB,1,1MiB,4,0.979517,0.333341
timing,4KiB,1,1MiB,8,0.979517,0.341085
timing,4KiB,1,1MiB,16,0.979517,0.344182
timing,4KiB,1,2MiB,4,0.979517,0.145820
timing,4KiB,1,2MiB,8,0.979517,0.145796
timing,4KiB,1,2MiB,16,0.979517,0.145812
timing,4KiB,1,4MiB,4,0.979517,0.064582
timing,4KiB,1,4MiB,8,0.979517,0.064587
timing,4KiB,1,4MiB,16,0.979517,0.064593
timing,8KiB,1,1MiB,4,0.963004,0.318486
timing,8KiB,1,1MiB,8,0.963004,0.325435
timing,8KiB,1,1MiB,16,0.963004,0.328727
timing,8KiB,1,2MiB,4,0.963004,0.133164
timing,8KiB,1,2MiB,8,0.963004,0.133179
timing,8KiB,1,2MiB,16,0.963004,0.133189
timing,8KiB,1,4MiB,4,0.963004,0.059156
timing,8KiB,1,4MiB,8,0.963004,0.059162
timing,8KiB,1,4MiB,16,0.963004,0.059167
timing,16KiB,1,1MiB,4,0.927530,0.299721
timing,16KiB,1,1MiB,8,0.927530,0.306506
timing,16KiB,1,1MiB,16,0.927530,0.309680
timing,16KiB,1,2MiB,4,0.927530,0.125049
timing,16KiB,1,2MiB,8,0.927530,0.125059
timing,16KiB,1,2MiB,16,0.927530,0.125067
timing,16KiB,1,4MiB,4,0.927530,0.055538
timing,16KiB,1,4MiB,8,0.927530,0.055543
timing,16KiB,1,4MiB,16,0.927530,0.055548
timing,32KiB,1,1MiB,4,0.856346,0.272150
timing,32KiB,1,1MiB,8,0.856346,0.278691
timing,32KiB,1,1MiB,16,0.856346,0.281734
timing,32KiB,1,2MiB,4,0.856346,0.113890
timing,32KiB,1,2MiB,8,0.856346,0.113899
timing,32KiB,1,2MiB,16,0.856346,0.113907
timing,32KiB,1,4MiB,4,0.856346,0.050601
timing,32KiB,1,4MiB,8,0.856346,0.050606
timing,32KiB,1,4MiB,16,0.856346,0.050610
timing,64KiB,1,1MiB,4,0.744003,0.238574
timing,64KiB,1,1MiB,8,0.744003,0.244756
timing,64KiB,1,1MiB,16,0.744003,0.247569
timing,64KiB,1,2MiB,4,0.744003,0.100326
timing,64KiB,1,2MiB,8,0.744003,0.100334
timing,64KiB,1,2MiB,16,0.744003,0.100340
timing,64KiB,1,4MiB,4,0.744003,0.044515
timing,64KiB,1,4MiB,8,0.744003,0.044519
timing,64KiB,1,4MiB,16,0.744003,0.044522
timing,128KiB,1,1MiB,4,0.606572,0.200312
timing,128KiB,1,1MiB,8,0.606572,0.205981
timing,128KiB,1,1MiB,16,0.606572,0.208535
timing,128KiB,1,2MiB,4,0.606572,0.084497
timing,128KiB,1,2MiB,8,0.606572,0.084504
timing,128KiB,1,2MiB,16,0.606572,0.084509
timing,128KiB,1,4MiB,4,0.606572,0.037450
timing,128KiB,1,4MiB,8,0.606572,0.037454
timing,128KiB,1,4MiB,16,0.606572,0.037457
timing,256KiB,1,1MiB,4,0.459810,0.159873
timing,256KiB,1,1MiB,8,0.459810,0.165035
timing,256KiB,1,1MiB,16,0.459810,0.167375
timing,256KiB,1,2MiB,4,0.459810,0.067825
timing,256KiB,1,2MiB,8,0.459810,0.067831
timing,256KiB,1,2MiB,16,0.459810,0.067835
timing,256KiB,1,4MiB,4,0.459810,0.030055
timing,256KiB,1,4MiB,8,0.459810,0.030058
timing,256KiB,1,4MiB,16,0.459810,0.030061
timing,512KiB,1,1MiB,4,0.328626,0.115650
timing,512KiB,1,1MiB,8,0.328626,0.120305
timing,512KiB,1,1MiB,16,0.328626,0.122485
timing,512KiB,1,2MiB,4,0.328626,0.049606
timing,512KiB,1,2MiB,8,0.328626,0.049611
timing,512KiB,1,2MiB,16,0.328626,0.049614
timing,512KiB,1,4MiB,4,0.328626,0.021976
timing,512KiB,1,4MiB,8,0.328626,0.021979
