Size(Kb),1-Way,2-Way,4-Way,8-Way
,,,,
4,62197107000,60273907000,60227300000,60227185000
8,61862298000,60133750000,60125969000,60125968000
16,60484132000,59886641000,59920278000,59935852000
32,59678905000,59503854000,59528433000,59534209000
64,58835407000,58802302000,58802302000,58823722000
128,58033437000,58068534000,58091893000,58101654000
256,57309393000,57361960000,57375474000,57398832000
512,56366227000,56583335000,56630937000,56616433000
1024,54624533000,54771295000,54893030000,54937606000
