Size(Kb),1-Way,2-Way,4-Way,8-Way
,,,,
4,12414816000,11606019000,11572896000,11573711000
8,12265689000,11557815000,11518265000,11518182000
16,11730706000,11409258000,11414678000,11418593000
32,11345754000,11241146000,11240079000,11246360000
64,10958977000,10935992000,10931515000,10939114000
128,10616561000,10617925000,10629133000,10637723000
256,10326227000,10342023000,10349809000,10353949000
512,9981323000,10079060000,10117168000,10085311000
1024,9253482000,9271439000,9291360000,9297915000
